Country,Gender Equality Index,WORK,Participation,Segregation and quality of work,MONEY,Financial resources,Economic situation,KNOWLEDGE,Attainment and participation,Segregation,TIME,Care activities,Social activities,POWER,Political,Economic,Social,HEALTH,Status,Behaviour,Access,,FTE employment rate (%) W,FTE employment rate (%) M,FTE employment rate (%) T,Duration of working life (years) W,Duration of working life (years) M,Duration of working life (years) T,"Employed people in education, human health and social work activities (%) W","Employed people in education, human health and social work activities (%) M","Employed people in education, human health and social work activities (%) T",Ability to take one hour or two off during working hours to take care of personal or family matters (%) W,Ability to take one hour or two off during working hours to take care of personal or family matters (%) M,Ability to take one hour or two off during working hours to take care of personal or family matters (%) T,"Career Prospects Index (points, 0-100) W","Career Prospects Index (points, 0-100) M","Career Prospects Index (points, 0-100) T",Mean monthly earnings (PPS) W,Mean monthly earnings (PPS) M,Mean monthly earnings (PPS) T,Mean equivalised net income (PPS) W,Mean equivalised net income (PPS) M,Mean equivalised net income (PPS) T,Not at-risk-of-poverty (%) W,Not at-risk-of-poverty (%) M,Not at-risk-of-poverty (%) T,Income distribution S20/S80 (%) W,Income distribution S20/S80 (%) M,Income distribution S20/S80 (%) T,Graduates of tertiary education (%) W,Graduates of tertiary education (%) M,Graduates of tertiary education (%) T,People participating in formal or non-formal education (%) W,People participating in formal or non-formal education (%) M,People participating in formal or non-formal education (%) T,"Tertiary students in education, health and welfare, humanities and arts (%) W","Tertiary students in education, health and welfare, humanities and arts (%) M","Tertiary students in education, health and welfare, humanities and arts (%) T","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) W","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) M","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%) T","People doing cooking and/or household, every day (%) W","People doing cooking and/or household, every day (%) M","People doing cooking and/or household, every day (%) T","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) W","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) M","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%) T","Workers involved in voluntary or charitable activities, at least once a month (%) W","Workers involved in voluntary or charitable activities, at least once a month (%) M","Workers involved in voluntary or charitable activities, at least once a month (%) T",Share of ministers (%) W,Share of ministers (%) M,Share of ministers (%) T,Share of members of parliament (%) W,Share of members of parliament (%) M,Share of members of parliament (%) T,Share of members of regional assemblies (%) W,Share of members of regional assemblies (%) M,Share of members of regional assemblies (%) T,"Share of members of boards in largest quoted companies, supervisory board or board of directors (%) W","Share of members of boards in largest quoted companies, supervisory board or board of directors (%) M","Share of members of boards in largest quoted companies, supervisory board or board of directors (%) T",Share of board members of central bank (%) W,Share of board members of central bank (%) M,Share of board members of central bank (%) T,Share of board members of research funding organisations (%) W,Share of board members of research funding organisations (%) M,Share of board members of research funding organisations (%) T,Share of board members of publically owned broadcasting organisations (%)  W,Share of board members of publically owned broadcasting organisations (%)  M,Share of board members of publically owned broadcasting organisations (%)  T,Share of members of highest decision making body of the national Olympic sport organisations (%)  W,Share of members of highest decision making body of the national Olympic sport organisations (%)  M,Share of members of highest decision making body of the national Olympic sport organisations (%)  T,"Self-perceived health, good or very good (%) W","Self-perceived health, good or very good (%) M","Self-perceived health, good or very good (%) T",Life expectancy at birth (years) W,Life expectancy at birth (years) M,Life expectancy at birth (years) T,Healthy life years at birth (years) W,Healthy life years at birth (years) M,Healthy life years at birth (years) T,People who don't smoke and are not involved in harmful drinking (%) W,People who don't smoke and are not involved in harmful drinking (%) M,People who don't smoke and are not involved in harmful drinking (%) T,People doing physical activities and/or consuming fruits and vegetables (%) W,People doing physical activities and/or consuming fruits and vegetables (%) M,People doing physical activities and/or consuming fruits and vegetables (%) T,Population without unmet needs for medical examination (%) W,Population without unmet needs for medical examination (%) M,Population without unmet needs for medical examination (%) T,Population without unmet needs for dental examination (%) W,Population without unmet needs for dental examination (%) M,Population without unmet needs for dental examination (%) T,Population (number) W,Population (number) M,Population (number) T,Population (%) W,Population (%) M,Population (%) T
IE,67.6858331770271,73.6805071715078,77.3031997651167,70.227586355363,84.3716642025972,80.6742147102772,88.2385746905693,67.7424179699274,74.0234592581625,61.994335828156,76.5442179427391,81.6313111937842,71.7741417451551,40.6883843955111,37.0457741325509,25.3502565372996,71.7282613868736,90.4226015607262,96.4537961056477,79.0301457048204,96.9881971766528,,38.982174344,52.091528877,45.035095302,30.1,37.9,34.1,35.30922,8.74796,21.13396,37.06012,43.40896,40.41701,64.0856633418041,64.6054026807295,64.3414436354856,2823,3465,3134,19436,19761,19595,84.8,84.3,84.6,21.4425,19.99691,20.74454,34.114450332,29.222366008,31.715895464,15.135888169,14.989896413,15.064274781,52.18461,26.81427,39.71772,46.8504949981359,32.3427570132244,39.7460579594947,87.5715279631946,59.868876134087,74.5663945573943,40.42377,48.36509,44.62631,18.785867,15.495575,17.000738,17.816091954023,82.183908045977,100,18.6140803538518,81.3859196461482,100,19.9754148740012,80.0245851259988,100,9.66666666666667,90.3333333333333,100,15.7894736842105,84.2105263157895,100,50,50,100,43.4782608695652,56.5217391304348,100,16.1764705882353,83.8235294117647,100,82.6,83,82.7,83.2,78.7,80.95,68.5,65.9,67.2,65.75,46.49,56.25,48.42,47.15,47.8,95.8,96.2,96,91.9,92.8,92.4,1745037,1677270.33333333,3422307.33333333,50.9900727793588%,49.0099272206412%,100%
EL,50.0551282550485,63.6198569422964,69.3536699240601,58.3600868099716,71.102719284746,62.6764933107006,80.6617668385454,54.2582701146868,60.7429843412915,48.4658419036071,45.1898949288729,55.0981799509747,37.0634130836921,22.3246030885812,30.7194696507632,15.3286841280249,23.6283094590724,83.9053200403302,93.5442506585927,66.6175672691628,94.7900222602162,,29.799685696,47.155414868,38.143077422,27.8,36,32,21.8707,8.29682,13.90528,14.38432,16.1361,15.37718,52.1521189519659,50.955283145665,51.6333286634388,1754,2134,1954,11136,11585,11355,77,78.1,77.5,15.62994,15.12257,14.96752,18.64684317,19.86160685,19.233080699,10.243895444,10.697888362,10.462989652,39.40054,17.87593,28.44939,45.5452520181789,26.3002296326659,36.1162759924398,79.6454054458904,17.5281319553017,49.1805238299379,10.9811,17.57791,14.71491,5.970744,4.720991,5.217562,10.6666666666667,89.3333333333333,100,19.4444444444444,80.5555555555556,100,17.3333333333333,82.6666666666667,100,7,93,100,8.33333333333333,91.6666666666667,100,11.1111111111111,88.8888888888889,100,16.6666666666667,83.3333333333333,100,8.42696629213483,91.5730337078652,100,72.2,77.8,74.8,83.4,78,80.7,64.9,64.8,64.85,70.35,54.22,62.76,19.84,24.74,22.16,88.9,91.3,90.1,91.5,91.1,91.3,4702271.66666667,4417820.33333333,9120092,51.5594762275059%,48.4405237724941%,100%
ES,67.3592136305174,72.3018777008609,77.5382689644822,67.419115604255,75.9658810922444,69.6476621743561,82.8572691452922,64.2493619158462,72.9521625759274,56.5847585710301,65.7818967805599,71.4354497588457,60.57577797377,52.8662888517677,69.6634307368054,35.8077423257314,59.2317651973878,89.1214249630192,93.6006396335191,78.6196434156577,96.1914517279306,,35.242718688,48.488224622,41.6443181,32.1,37.3,34.8,23.65755,7.55501,14.88314,32.88892,35.34519,34.19115,57.3286330006082,56.1494432455435,56.7711311852324,1814,2239,2044,16690,17094,16888,80.3,80.3,80.3,16.3062,15.68005,16.00005,25.899930265,25.509402773,25.708907712,16.854513551,15.722113209,16.300204601,45.6675,22.48458,34.91367,42.5746646044146,26.2289218113649,34.6038696083976,80.3968053723713,39.6440658561102,60.6953289065953,39.30523,45.49559,42.57218,7.195606,6.272044,6.675726,28.4210526315789,71.5789473684211,100,36.3623251117842,63.6376748882158,100,42.3333333333333,57.6666666666667,100,12.3333333333333,87.6666666666667,100,24.1379310344828,75.8620689655172,100,44.4444444444444,55.5555555555556,100,33.3333333333333,66.6666666666667,100,13.0952380952381,86.9047619047619,100,71.6,77.1,74.3,85.5,79.5,82.5,65.8,64.8,65.3,75.86,61.61,68.88,36.06,46.03,40.94,94.6,94,94.3,90.6,91.2,90.9,19633967,18757329,38391296,51.1417145177907%,48.8582854822093%,100%
FR,68.8862600964836,71.89778489666,81.4204718758417,63.4888419822605,83.6572427752285,77.226963755087,90.6229369698937,62.3773514977708,69.6685105253744,55.8492488289858,70.3379775446149,78.4851617053728,63.0365151522401,55.0893914037205,70.8302289268909,43.2035491069288,54.6343591554074,86.8254861000507,91.6478933544702,73.9688377504005,96.5540263675319,,41.504330232,54.598893775,47.505082615,32.4,36.4,34.5,32.2913,10.00518,20.62508,17.87877,22.05084,19.99634,66.7411427546353,63.8439550151847,65.3018925095742,2049,2488,2284,22419,23394,22885,86.3,87.7,87,22.06022,21.541,21.78756,24.698714183,23.628877448,24.18721143,13.779227796,13.779500013,13.779357947,40.90022,21.09672,31.95563,37.6911346509673,27.8650053377556,33.0148651551105,81.2404190049233,45.2279820567214,64.052413981293,32.07745,38.98998,35.57016,12.15023,16.401516,14.368803,41.025641025641,58.974358974359,100,22.676107480029,77.323892519971,100,48.3333333333333,51.6666666666667,100,24.6666666666667,75.3333333333333,100,21.2121212121212,78.7878787878788,100,36.8421052631579,63.1578947368421,100,28.5714285714286,71.4285714285714,100,21.4574898785425,78.5425101214575,100,65.9,70.4,68.1,85.4,78.7,82.05,63.8,62.6,63.2,69.6996198700956,54.1923353726582,62.2055297962736,32.02,38.74,35.22,94.3,94.7,94.5,91.3,91.3,91.3,26593408.3333333,24196270.6666667,50789679,52.3598669196813%,47.6401330803187%,100%
HR,52.5815877870571,68.3193683856171,75.5344977415328,61.7934352669058,68.8732565836929,55.6799472940178,85.1927076617911,48.4533097868861,58.6916302567871,40.0009885401412,54.6512348352042,63.9030204976534,46.7389091431494,27.3095506830493,40.0467099125833,22.1797282398146,22.9308736902556,82.7883869147273,85.6676866434648,68.2904351965598,96.9909788352878,,35.889634294,48.489147619,41.894616653,28.6,33.6,31.2,20.64253,5.27791,12.23421,25.09148,29.43383,27.30753,60.9738582956097,59.7562097052705,60.3817054947004,1364,1460,1416,8167,8458,8305,79.3,81.1,80.2,18.83758,18.41635,18.38848,14.929734239,14.601333688,14.772880697,11.640166184,11.426579811,11.538287605,30.95286,12.38499,22.90815,37.979187639188,23.9083770156167,31.293214547353,80.9280998784846,26.8416058292099,55.2280280404513,12.5079,19.0986,15.8608,11.457337,9.907879,10.620682,15.2,84.8,100,25.0549450549451,74.9450549450549,100,23.6666666666667,76.3333333333333,100,16.1666666666667,83.8333333333333,100,7.14285714285714,92.8571428571429,100,28.5714285714286,71.4285714285714,100,0,100,100,7.25806451612903,92.741935483871,100,45.6,47.6,46.8,80.6,73.9,77.25,64.2,61.9,63.05,72.46,57.21,65.3,21.1,28,24.37,92.1,93.1,92.6,95.7,95.6,95.6,1826939.33333333,1655690,3482629.33333333,52.4586213022192%,47.5413786977808%,100%
IT,56.5461465482195,62.4319182813481,66.6503171008834,58.4805082680884,78.7351325531977,72.8479801444737,85.0980505688034,56.7368633409366,54.3685335775304,59.2083591362209,61.4029483761475,67.6398998546059,55.7410947885533,29.3808429246398,35.8284503439056,14.8186300786702,47.7701574726572,86.4953720195763,91.3226258650364,74.2240725053836,95.4674764624821,,30.54344599,51.835986588,40.549216055,25.4,35.2,30.5,25.00107,7.01628,14.48551,19.32764,21.96883,20.75888,55.7005041266087,51.8854855153201,53.9687708588471,2036,2385,2234,17651,18757,18181,80.2,83.3,81.7,18.00477,18.24001,18.06017,12.468231135,11.081303699,11.802720532,11.957708429,11.708191008,11.838087203,44.01569,23.12224,35.13518,41.5820954395022,28.6113480972069,35.3618616144515,82.1840055307886,29.7106142816515,57.1575209303631,23.57588,28.19432,26.06329,11.827752,9.696911,10.549031,19.7869101978691,80.2130898021309,100,23.6113544769581,76.3886455230419,100,13.3333333333333,86.6666666666667,100,9.5,90.5,100,5.66037735849057,94.3396226415094,100,70,30,100,33.3333333333333,66.6666666666667,100,8.22784810126582,91.7721518987342,100,65,72.2,68.4,84.8,79.8,82.3,61.5,62.1,61.8,79.86,65.64,73.11,24.45,30.35,27.25,92.8,94.4,93.6,89.6,90.3,89.9,25838211,23624892,49463103,52.2373434598311%,47.7626565401689%,100%
CY,50.5954501873783,68.8968994337009,83.4156704151033,56.9051681531297,81.7040755467068,76.4012308422634,87.3749792686482,58.1895210738414,73.2379512882005,46.2331387381199,45.9075468524279,52.7132125390655,39.9805429510866,17.4270406242795,30.2189047442809,6.80192446945821,25.7490022957019,87.1492769927075,94.4126806570449,73.002206451882,96.0340069916111,,47.115883111,59.608686147,53.011635075,32.4,39.9,36.3,18.39956,5.40943,11.5784,17.46069,18.49097,17.98758,50.7875156523139,53.0339980320071,51.8852387169886,1976,2503,2255,22632,23520,23059,83.1,87.5,85.2,20.15568,21.60507,20.7969,32.641203842,29.825583857,31.308812369,16.03171158,13.964479376,15.053467862,38.85989,16.48786,28.3583,48.4874861552032,25.2571024555706,37.0991251370907,74.6372161173445,16.3683931992625,46.2740337397107,9.6987,21.68099,15.82595,8.421343,10.484688,9.563436,18.0555555555556,81.9444444444444,100,11.6071428571429,88.3928571428571,100,17.7966101694915,82.2033898305085,100,6.33333333333333,93.6666666666667,100,0,100,100,25,75,100,11.1111111111111,88.8888888888889,100,4,96,100,75.6,78.8,77.1,83.4,78.9,81.15,64,63.4,63.7,81.37,53.93,68.35,32.99,38.64,35.67,94.5,95.7,95.1,90.7,89.9,90.3,353595.333333333,325555,679150.333333333,52.0643686645716%,47.9356313354284%,100%
LV,56.2419252823793,74.2941092198649,86.9103172326491,63.5093144349919,59.5512317005579,43.5151306104443,81.4969218132682,48.7891978427707,62.1617929238423,38.2933907498028,60.8275322023957,75.1451780893505,49.2378721816863,37.8671074987732,43.7397150902975,42.1046554530171,29.4835877423236,77.8995115521684,80.4526046887261,65.4744913524011,89.7412183418629,,45.445217135,54.849124598,49.607288481,34.9,35.2,35,25.97228,6.32882,16.36592,24.87731,25.98187,25.4034,60.7245328766354,62.7353215930507,61.7804760421335,633,770,692,7254,7740,7470,81.3,82,81.6,16.90766,14.92611,16.01342,29.270331519,17.954054263,24.017932669,16.225512548,15.418294986,15.850855927,35.99149,12.28504,26.41667,41.2108049583961,24.5587005408595,33.7085856887295,82.0503896768895,49.3428346203042,67.832207409017,17.4187,22.62126,19.90355,7.776841,7.627478,7.70395,30.7971014492754,69.2028985507246,100,22.2685571309424,77.7314428690575,100,23.3333333333333,76.6666666666667,100,27.6666666666667,72.3333333333333,100,21.4285714285714,78.5714285714286,100,36.3636363636364,63.6363636363636,100,0,100,100,14.1025641025641,85.8974358974359,100,43,51.2,46.6,78.9,68.9,73.9,59,54.6,56.8,76.36,43.47,61.94,28.74,34.04,31.07,80.9,81,80.9,79.4,79.2,79.3,939266.333333333,755552.666666667,1694819,55.4198609605706%,44.5801390394294%,100%
LT,54.1559547706888,72.6032315973419,86.7501281892946,60.7633596445539,64.3022750187504,48.3779358369926,85.468354551525,54.7362358116124,66.2099073926298,45.2508639388,55.7192791946823,74.4784954696199,41.6850267234702,27.7399954516872,34.8359733807491,13.8666628722547,44.1895164742226,79.5929865554823,79.6714631674494,64.7538423585154,97.7363387700206,,45.699859765,52.92272417,48.927313417,34.2,33.7,34,27.38186,6.4443,17.25327,19.04512,21.0071,19.94605,63.1534307608532,61.9486500832584,62.5007295957596,894,1047,963,7750,8225,7964,81.2,82.1,81.6,19.50686,18.23584,18.86265,29.154158699,21.337389091,25.624823899,15.108474193,16.050294635,15.533713752,35.63868,15.13065,27.11606,42.9132384550937,29.6035012084268,36.8908356227152,80.9344875794109,40.5845936717715,62.9165360113948,13.47103,17.87688,15.50069,5.300396,5.951975,5.611904,16.820987654321,83.179012345679,100,21.326164874552,78.673835125448,100,22.4115334207077,77.5884665792923,100,15.5,84.5,100,0,100,100,32.1428571428571,67.8571428571429,100,33.3333333333333,66.6666666666667,100,10.4347826086957,89.5652173913043,100,40.4,49.9,44.3,79.6,68.4,74,61.6,56.6,59.1,81.54,44.96,64.97,27.62,33.6,30.33,96.4,97.3,96.8,94.9,96.3,95.5,1350916.66666667,1100140.66666667,2451057.33333333,55.1156698088934%,44.8843301911066%,100%
LU,65.9367749500064,72.544271593058,77.7172911761643,67.715578622501,92.1334229188051,91.5795496508438,92.6906460132083,68.6998063048878,78.5952423463994,60.0502428063995,71.4841380039069,74.8389914016029,68.2796746784078,34.8911321702193,47.5838064608194,12.5296932477091,71.2435524410757,90.0160444676075,94.4311956034253,78.4595301030564,98.4461153973468,,41.956405854,61.342500329,51.256869788,29.4,35.5,32.5,30.06724,10.5303,19.14443,22.65576,30.03513,26.47007,72.4724038713788,70.0531975177875,71.3047130378164,2848,3182,3066,30366,31383,30872,86.1,87,86.5,24.60504,23.84876,24.17676,27.642640939,34.422747593,31.008844305,21.939188422,21.961167852,21.950096545,44.95586,24.20185,35.02054,40.6548866814843,29.9865037922302,35.3951424791403,76.6580558719001,36.3001707791902,56.7661359929706,36.796,45.81224,41.46498,22.214542,15.796492,18.54856,26.6666666666667,73.3333333333333,100,22.8094575799722,77.1905424200278,100,22.2123104371097,77.7876895628903,100,8.16666666666667,91.8333333333333,100,3.7037037037037,96.2962962962963,100,55.5555555555556,44.4444444444444,100,55.5555555555556,44.4444444444444,100,16.8141592920354,83.1858407079646,100,72.5,75.1,73.8,83.8,79.1,81.45,66.4,65.8,66.1,65.05,45.58,55.33,48.02,51.47,49.73,97.2,96.5,96.9,97.2,96.8,97,209717,205473.666666667,415190.666666667,50.5110102025415%,49.4889897974585%,100%
